T	η
300.0	14.94410076789124
301.0	14.989813789674214
302.0	15.035394022050726
303.0	15.080817442986879
304.0	15.12605965067466
305.0	15.1710055321298
306.0	15.215592429422317
307.0	15.259875119933518
308.0	15.303909403602734
309.0	15.347752085758572
310.0	15.391460963933007
311.0	15.435094818836403
312.0	15.478713409669021
313.0	15.522377473943004
314.0	15.566218847540528
315.0	15.61066967620135
316.0	15.655731668693416
317.0	15.701329574755915
318.0	15.74738689046665
319.0	15.793825803460768
320.0	15.840567145377685
321.0	15.887530351828865
322.0	15.9346334301992
323.0	15.981792935611859
324.0	16.028545771029123
325.0	16.074523275178777
326.0	16.11978355598066
327.0	16.164386010793237
328.0	16.20839127703585
329.0	16.25186118670511
330.0	16.294858725042282
331.0	16.33744799359629
332.0	16.379694177914597
333.0	16.42174453042739
334.0	16.46411095138006
335.0	16.506835997147636
336.0	16.549876009463556
337.0	16.59318667561262
338.0	16.636723010165618
339.0	16.680439339026893
340.0	16.72428928587795
341.0	16.768225761103324
342.0	16.812200953288638
343.0	16.855951612530525
344.0	16.899275541530262
345.0	16.942216535269274
346.0	16.984819136850593
347.0	17.027128620080603
348.0	17.069190974279547
349.0	17.11105289141719
350.0	17.152761755668024
351.0	17.194365635477542
352.0	17.23597061632866
353.0	17.277934357222602
354.0	17.320272149171846
355.0	17.36293736101404
356.0	17.405882706414037
357.0	17.449060224862063
358.0	17.492421265189552
359.0	17.535916471686694
360.0	17.579495772909375
361.0	17.623108373267186
362.0	17.666474812120992
363.0	17.709379763085945
364.0	17.75186865150061
365.0	17.79398764098335
366.0	17.835783614324697
367.0	17.877304156662987
368.0	17.91859754103826
369.0	17.959712716416043
370.0	18.000699298270213
371.0	18.041666967296624
372.0	18.08298922912653
373.0	18.124689951473677
374.0	18.166729355755958
375.0	18.20906714321668
376.0	18.251662478833595
377.0	18.294473976962706
378.0	18.337459688770476
379.0	18.380577091510876
380.0	18.423783079706013
381.0	18.466833261603085
382.0	18.50952101378299
383.0	18.551859635291525
384.0	18.593862679080672
385.0	18.635543947197167
386.0	18.676917486119134
387.0	18.71799758225166
388.0	18.758798757592142
389.0	18.79933576557587
390.0	18.839623587112094
391.0	18.879677426820688
392.0	18.91951270947913
393.0	18.959145076689442
394.0	18.998590383774534
395.0	19.03786469691304
396.0	19.07698429052181
397.0	19.1159656448948
398.0	19.154825444107114
399.0	19.193580574192797
400.0	19.232414019666972
401.0	19.27148943490239
402.0	19.31079476000441
403.0	19.350317797307845
404.0	19.390046207998747
405.0	19.429967508878565
406.0	19.470069069274164
407.0	19.510338108098054
408.0	19.55076169106267
409.0	19.5913267280533
410.0	19.63201997066404
411.0	19.672828009901483
412.0	19.71373727406101
413.0	19.754734026780618
414.0	19.79580436527748
415.0	19.836934218772292
416.0	19.87810934710705
417.0	19.91931533956145
418.0	19.960537613873633
419.0	20.001625818428284
420.0	20.042445454603484
421.0	20.083005702547176
422.0	20.123315889990224
423.0	20.163385490013223
424.0	20.203224118880463
425.0	20.242841533944745
426.0	20.282247631627154
427.0	20.321452445475522
428.0	20.360466144305338
429.0	20.399299030426782
430.0	20.437961537961478
431.0	20.476464231252614
432.0	20.514817803371802
433.0	20.553033074726226
434.0	20.59112099176936
435.0	20.629092625818675
436.0	20.66695917198361
437.0	20.70473194820698
438.0	20.74253491552406
439.0	20.780480380917545
440.0	20.81856222471524
441.0	20.856774262231955
442.0	20.895110242770926
443.0	20.933563848658864
444.0	20.972128694315636
445.0	21.010798325359254
446.0	21.049566217747223
447.0	21.088425776955216
448.0	21.127370337193902
449.0	21.166393160665095
450.0	21.205487436858128
451.0	21.24464628188757
452.0	21.28386273787328
453.0	21.323129772363906
454.0	21.362440277804996
455.0	21.40178707105275
456.0	21.441162892934642
457.0	21.480490899133954
458.0	21.51969919679105
459.0	21.558787906479587
460.0	21.597757161852666
461.0	21.63660710962126
462.0	21.675337909531333
463.0	21.71394973433963
464.0	21.752442769788168
465.0	21.790817214577423
466.0	21.829073280338314
467.0	21.867211191602962
468.0	21.905231185774156
469.0	21.943133513093734
470.0	21.980918436609734
471.0	22.01858623214243
472.0	22.05613718824929
473.0	22.093571606188714
474.0	22.130889799882883
475.0	22.1680920958794
476.0	22.205190635375352
477.0	22.24220043016824
478.0	22.279126158730513
479.0	22.315972548084595
480.0	22.35274437354073
481.0	22.389446458453616
482.0	22.42608367399772
483.0	22.462660938962337
484.0	22.49918321956648
485.0	22.535655529294324
486.0	22.57208292875161
487.0	22.608470525543506
488.0	22.644823474174373
489.0	22.681146975970144
490.0	22.71744627902341
491.0	22.753726678162074
492.0	22.7899935149419
493.0	22.8262521776634
494.0	22.862508101413646
495.0	22.898817140975396
496.0	22.93522768622537
497.0	22.97173397115779
498.0	23.00833017745674
499.0	23.04501043390052
500.0	23.08176881579413
501.0	23.118599344430518
502.0	23.15549598658114
503.0	23.192452654016506
504.0	23.22946320305736
505.0	23.266521434157042
506.0	23.303621091515858
507.0	23.34075586272802
508.0	23.377919378461808
509.0	23.415105212173792
510.0	23.45230687985765
511.0	23.489517839828416
512.0	23.526731492542783
513.0	23.563941180456283
514.0	23.601078812619367
515.0	23.63808300244033
516.0	23.67495713503592
517.0	23.71170463484231
518.0	23.74832896528315
519.0	23.784833628445288
520.0	23.821222164762574
521.0	23.857498152707844
522.0	23.89366520849368
523.0	23.929726985781997
524.0	23.965687175402916
525.0	24.001549505083204
526.0	24.037317739184523
527.0	24.072995678451868
528.0	24.108587159772387
529.0	24.144096055945052
530.0	24.179526275461196
531.0	24.214881762296525
532.0	24.250166495714623
533.0	24.28542530386948
534.0	24.32069815683621
535.0	24.35598175324136
536.0	24.391272765151847
537.0	24.426567838004182
538.0	24.4618635905428
539.0	24.49715661476781
540.0	24.532443475892183
