T	η
100.0	3.922635442778517
101.0	3.961715056860488
102.0	4.000703082875715
103.0	4.039667533596055
104.0	4.078939899906613
105.0	4.118608871466984
106.0	4.158628016110144
107.0	4.198947789019504
108.0	4.239515408288019
109.0	4.280274740932644
110.0	4.321134253584915
111.0	4.361763026066305
112.0	4.402104986535927
113.0	4.442183006124713
114.0	4.482022092983912
115.0	4.521649388530952
116.0	4.561094164799348
117.0	4.600432680034387
118.0	4.639908441713103
119.0	4.679557830333996
120.0	4.719386443679647
121.0	4.759400084770359
122.0	4.799604767689101
123.0	4.8400067235948825
124.0	4.880616278433505
125.0	4.9214188891121005
126.0	4.962353746800174
127.0	5.003355100091732
128.0	5.0443538916648
129.0	5.0852777169363765
130.0	5.126050803003272
131.0	5.166442573023021
132.0	5.2061962834817885
133.0	5.245382026497089
134.0	5.284079938613824
135.0	5.32237478760321
136.0	5.360355863802909
137.0	5.398116895758675
138.0	5.436096173847363
139.0	5.474625300151765
140.0	5.513639097032263
141.0	5.553069370970613
142.0	5.592844763556684
143.0	5.632890617777572
144.0	5.673122553431861
145.0	5.713132834118707
146.0	5.752738519170063
147.0	5.791975075153517
148.0	5.830880088000122
149.0	5.869493231746112
150.0	5.907856240748045
151.0	5.946029194778684
152.0	5.984296274670072
153.0	6.022731115201245
154.0	6.061312326779023
155.0	6.100017638222782
156.0	6.138823879486136
157.0	6.177706965943148
158.0	6.216625643666866
159.0	6.255447407217427
160.0	6.294158051642839
161.0	6.332770131326638
162.0	6.371296818934745
163.0	6.409751906724024
164.0	6.448149808278894
165.0	6.4865272776736065
166.0	6.52496973855583
167.0	6.563457650844265
168.0	6.60195955458945
169.0	6.640442909369217
170.0	6.678874087262049
171.0	6.717218369205535
172.0	6.755385061897637
173.0	6.793242307523042
174.0	6.830823755018942
175.0	6.868171583690335
176.0	6.905329597851283
177.0	6.94234320987444
178.0	6.9792594284805745
179.0	7.0162603462631745
180.0	7.05353473980667
181.0	7.091041207399315
182.0	7.128735107622943
183.0	7.166570322647429
184.0	7.204499226600793
185.0	7.242472236946153
186.0	7.280266449902006
187.0	7.317738106275572
188.0	7.354907522332324
189.0	7.3917959108268505
190.0	7.428425368045427
191.0	7.464818861665073
192.0	7.501004313775466
193.0	7.537134612453453
194.0	7.573274733766864
195.0	7.609421042426428
196.0	7.645569814909725
197.0	7.681717239082756
198.0	7.717859413859758
199.0	7.753991224865708
200.0	7.790096294778552
201.0	7.826169848211019
202.0	7.862211240431895
203.0	7.898219840299805
204.0	7.934195030549963
205.0	7.970136208077394
206.0	8.006043832665625
207.0	8.041924623584654
208.0	8.077781666555673
209.0	8.11361718994926
210.0	8.149433503660669
211.0	8.185232999567614
212.0	8.221018151995581
213.0	8.256795414918841
214.0	8.292564965125878
215.0	8.328295847867182
216.0	8.363954468891189
217.0	8.399506430360697
218.0	8.434916534156912
219.0	8.470148788181916
220.0	8.505105089150318
221.0	8.539685541570202
222.0	8.57396788216401
223.0	8.608036565219814
224.0	8.641978106213667
225.0	8.675881056894577
226.0	8.709835997848757
227.0	8.74419028649531
228.0	8.779217140721231
229.0	8.814804825641309
230.0	8.850838194477841
231.0	8.887199329910404
232.0	8.923767424409501
