T	η
100.0	7.581662032278216
101.0	7.6592841223581605
102.0	7.737376405640715
103.0	7.815942621346194
104.0	7.894836080681571
105.0	7.973870656650931
106.0	8.052848856709163
107.0	8.131561667201986
108.0	8.209579999738862
109.0	8.2861540527769
110.0	8.361428779957919
111.0	8.435634596804698
112.0	8.50901768801211
113.0	8.581839601976357
114.0	8.655158251623948
115.0	8.729729747041622
116.0	8.805366732144218
117.0	8.881871272182524
118.0	8.959034266828885
119.0	9.036556203428383
120.0	9.113370249274196
121.0	9.189278745306542
122.0	9.264385738346306
123.0	9.338802479567946
124.0	9.412647306041338
125.0	9.486246030843475
126.0	9.560218951576207
127.0	9.634545961162827
128.0	9.709164294291659
129.0	9.784008100118495
130.0	9.859007894670329
131.0	9.933899732237268
132.0	10.00852692051602
133.0	10.082924903796055
134.0	10.157131250301992
135.0	10.231185657906112
136.0	10.305152841470242
137.0	10.37924608364717
138.0	10.45343839272697
139.0	10.52764001640519
140.0	10.601757483323043
141.0	10.675693579645026
142.0	10.749221752106275
143.0	10.822041884057645
144.0	10.894253867905343
145.0	10.965979406235883
146.0	11.037345748545293
147.0	11.108489764608663
148.0	11.179984375203707
149.0	11.252078752782953
150.0	11.32464830684822
151.0	11.397563420129996
152.0	11.470689311234112
153.0	11.543808639486015
154.0	11.61627664423388
155.0	11.688024372499935
156.0	11.759111451145262
157.0	11.829600545486803
158.0	11.899557308898471
159.0	11.969197908881743
160.0	12.038853616769197
161.0	12.108523927343791
162.0	12.178198269194311
163.0	12.247865766315298
164.0	12.317514749228248
165.0	12.387108700019375
166.0	12.456628936853331
167.0	12.526073638919458
168.0	12.595441032339014
169.0	12.66472939135397
170.0	12.733939517009084
171.0	12.803087496032079
172.0	12.872181626515987
173.0	12.941228319723962
174.0	13.010234267777204
175.0	13.079206445581317
176.0	13.148163950879558
177.0	13.217077974880812
178.0	13.285855247665525
179.0	13.354399000948334
180.0	13.422609715401698
181.0	13.490375167349521
182.0	13.55734144912869
183.0	13.623544317291852
184.0	13.689221622191564
185.0	13.754618314135046
186.0	13.819986338147004
187.0	13.885790964331761
188.0	13.953084745316202
189.0	14.021707651812084
190.0	14.09133316375942
191.0	14.161625188234506
192.0	14.23223759336179
193.0	14.30206733598828
194.0	14.370029526906793
195.0	14.436364677939952
196.0	14.501332299228027
197.0	14.565200157869478
198.0	14.62829509302357
199.0	14.691905460235068
200.0	14.756352942167219
201.0	14.821450003058239
202.0	14.887004287696277
203.0	14.952818448573263
204.0	15.018495444604389
205.0	15.083195638167927
206.0	15.147008781791326
207.0	15.21012670577678
208.0	15.272746304967791
209.0	15.335069405658086
210.0	15.397784376989266
211.0	15.46142844165615
212.0	15.525804378451987
213.0	15.590708696457051
214.0	15.65593294420781
215.0	15.721210084686625
216.0	15.785593443906437
217.0	15.848950529358488
218.0	15.911478455838749
219.0	15.973379359899639
220.0	16.034860233348976
221.0	16.09637621131147
222.0	16.15880738980248
223.0	16.22206376263787
224.0	16.285973246850983
225.0	16.35035984642191
226.0	16.415043508528147
227.0	16.47935092199409
228.0	16.542768260585667
229.0	16.60535294462566
230.0	16.667164156488237
231.0	16.72826278613461
232.0	16.788711380073366
233.0	16.848574094097966
234.0	16.907916650140876
235.0	16.966806297571214
236.0	17.02531177925148
237.0	17.083503302658382
238.0	17.14165621502506
239.0	17.20037396238371
240.0	17.25964442619084
241.0	17.319415223532165
242.0	17.3796329315882
243.0	17.440243052234074
244.0	17.501189979764682
245.0	17.56241697189534
246.0	17.623866124197516
247.0	17.685478348137813
248.0	17.747193352895525
249.0	17.808894455601404
250.0	17.87004181026371
251.0	17.930544119144496
252.0	17.990441314919924
253.0	18.04977434954797
254.0	18.10858516953082
255.0	18.166916692739516
256.0	18.224812786927586
257.0	18.282318250056772
258.0	18.339478792554388
259.0	18.396341021618603
260.0	18.45295532338551
261.0	18.509696705177905
262.0	18.566783917187923
263.0	18.624190711312593
264.0	18.6818903657509
265.0	18.739855673813754
266.0	18.7980589334511
267.0	18.85647193752758
268.0	18.91506596488011
269.0	18.973811772191482
270.0	19.032679586716036
271.0	19.09163909989407
272.0	19.150548104527534
273.0	19.209162851147624
274.0	19.267476716875017
275.0	19.325490343345532
276.0	19.38320446489806
277.0	19.440619908268502
278.0	19.497737592258133
279.0	19.554558527377292
280.0	19.61108381546503
281.0	19.66731464928555
282.0	19.723252312102282
283.0	19.77890553783218
284.0	19.834326767185946
285.0	19.88954246110235
286.0	19.944572816435308
287.0	19.99943837188552
288.0	20.054160005440565
289.0	20.10875893221599
290.0	20.163256702714584
291.0	20.217675201520063
292.0	20.272036646442075
293.0	20.326363588128856
294.0	20.380684110690645
295.0	20.435181611291412
296.0	20.489919993717415
297.0	20.54487453480636
298.0	20.60002013184918
299.0	20.655331296155484
300.0	20.710782147214623
301.0	20.76634640747395
302.0	20.821997397756444
303.0	20.877708033340475
304.0	20.93345082072507
305.0	20.989197855104486
306.0	21.044797361675215
307.0	21.100066713101818
308.0	21.155018793022315
309.0	21.20966835775923
310.0	21.26403043701202
311.0	21.31812033019332
312.0	21.371953602942366
313.0	21.425546083825946
